product_id,name,price,quantity
FP001,Gao thom ST25,18000,120
FP002,Gao nau huu co,23000,90
FP003,Mi tom an lien,4500,500
FP004,Thit bo nac,320000,40
FP005,Thit heo vai,145000,70
FP006,Rau cai xanh,15000,80
FP007,Rau muong tuoi,12000,100
FP008,Khoai tay Da Lat,28000,65
FP009,Hanh la tuoi,6000,120
FP010,Tieu den xay,45000,40
FP011,Duong trang tinh luyen,19000,110
FP012,Muoi bien hat,7000,150
FP013,Hat sen kho,85000,45
FP014,Dau phong rang,32000,75
FP015,Dau nanh hat,28000,60
FP016,Nam dong co kho,55000,35
FP017,Keen banh quy bo,33000,88
FP018,Banh mi go,11000,140
FP019,Sua tuoi khong duong,15000,200
FP020,Sua tuoi co duong,16000,180
FP021,Trung ga ta,3500,300
FP022,Trung vit,4500,250
FP023,Bot canh,6000,180
FP024,Bot gao,17000,70
FP025,Bot mi so 13,21000,90
FP026,Kho bo sate,125000,35
FP027,Kho ga la chanh,99000,40
FP028,Dua leo tuoi,9000,110
FP029,Ot chuong do,35000,55
FP030,Ca hoi phi le,380000,25
FP031,Ca basa tien che,75000,60
FP032,Tom dong lanh,160000,45
FP033,Muc ong lam sach,210000,30
FP034,Bap cai tim,20000,85
FP035,Mit say deo,45000,70
FP036,Xoai cat chu,30000,90
FP037,Cô hu dua,22000,65
FP038,Pho kho,18000,100
FP039,Cha lua heo,55000,50
FP040,Cha que,45000,60

DR001,Nuoc khoang Lavie 500ml,6000,230
DR002,Nuoc tuoi Dasani,7000,210
DR003,Tra xanh Khong Do,9000,180
DR004,Tra chanh C2,8000,160
DR005,Nuoc ngot Pepsi lon,11000,150
DR006,Nuoc ngot Coca lon,11000,145
DR007,Nuoc tang luc RedBull,14000,90
DR008,Nuoc tang luc Monster,28000,60
DR009,Nuoc tao Welch,18000,80
DR010,Nuoc cam Twister,15000,120
DR011,Sua dau nanh Fami,8000,200
DR012,Sua hanh nhan,29000,70
DR013,Ca phe lon Highlands,15000,100
DR014,Ca phe lon VinaCafe,12000,130
DR015,Tra sua dong chai,18000,90
DR016,Tra olong chai,16000,140
DR017,Tra dao dong chai,18000,100
DR018,Nuoc dua dong chai,17000,110
DR019,Nuoc giai khat Revive,10000,150
DR020,Nuoc Pocari Sweat,16000,80
DR021,Sinh to xoai dong chai,20000,65
DR022,Sinh to bo chai,22000,55
DR023,Nuoc yến dong chai,29000,50
DR024,Suoi khoang co gas,12000,120
DR025,Tra tac dong chai,15000,100
DR026,Nuoc cay thao moc,18000,85
DR027,Nuoc tao xanh,17000,90
DR028,Nuoc dua tuoi dong chai,16000,95
DR029,Nuoc dua ep,15000,115
DR030,Nuoc chanh leo tuoi,20000,70
DR031,Tra gung mat ong,19000,75
DR032,Tra xanh Qoo,8000,150
DR033,Nuoc ep ca rot,21000,60
