product_id  name              price   quantity
1           Onion             1600    380
2           Garlic            3000    200
3           Ginger            3500    180
4           Lettuce           2500    160
5           Cabbage           2800    150
6           Broccoli          4000    120
7           Cauliflower       4200    100
8           Spinach           2600    190
9           Celery            3000    140
10          Corn              2300    160
11          Pumpkin           5500    70
12          Carrot            1800    220
13          Potato            1500    350
14          Tomato            2700    180
15          Eggplant          3500    130
16          Zucchini          3700    125
17          Bell Pepper       4500    110
18          Cucumber          2200    170
19          Kale              3200    95
20          Bok Choy          2900    140
21          Sweet Potato      4000    130
22          Beetroot          3300    105
23          Radish            2100    150
24          Turnip            2400    120
25          Mushroom          5500    85
26          Apple             4500    200
27          Banana            2500    280
28          Orange            3500    190
29          Mango             6500    120
30          Pineapple         5000    95
31          Watermelon        4000    110
32          Cantaloupe        6000    60
33          Strawberry        8500    70
34          Blueberry         9000    55
35          Raspberry         9500    40
36          Blackberry        9700    38
37          Grape             7000    90
38          Papaya            4500    85
39          Dragon Fruit      8000    50
40          Kiwi              7500    65
41          Avocado           12000   45
42          Starfruit         7000    55
43          Lychee            8500    48
44          Peach             6000    75
45          Plum              5500    80
46          Cherry            11000   35
47          Pear              4800    95
48          Guava             3500    110
49          Passion Fruit     9000    42
50          Pomegranate       8000    52

51          White Rice        2000    500
52          Brown Rice        2500    350
53          Jasmine Rice      2800    300
54          Wheat Flour       1800    400
55          Oats              3500    180
56          Quinoa            6000    95
57          Barley            2800    150
58          Black Beans       3200    200
59          Red Beans         3000    210
60          Chickpeas         3500    170
61          Lentils           3300    190
62          Green Beans       2800    160
63          Soybeans          2700    220
64          Peanuts           4500    140
65          Almonds           8500    75
66          Cashews           9000    70
67          Pasta             3200    180
68          Bread             2500    200
69          Cornmeal          2200    160
70          Walnuts           9500    65

71          Whole Milk        3500    250
72          Skim Milk         3200    220
73          Yogurt            4500    180
74          Cheddar Cheese    8500    90
75          Mozzarella        7500    100
76          Butter            6500    120
77          Cream Cheese      5500    95
78          Sour Cream        4800    110
79          Eggs              3500    300
80          Greek Yogurt      5500    140
81          Cottage Cheese    5000    85
82          Parmesan          12000   45
83          Ice Cream         6500    130
84          Whipped Cream     4200    75
85          Feta Cheese       7000    80

86          Chicken Breast    12000   180
87          Chicken Thigh     10000   200
88          Chicken Wings     9500    150
89          Ground Beef       13500   160
90          Beef Steak        18000   95
91          Pork Chops        11000   140
92          Pork Belly        10500   120
93          Bacon             8500    110
94          Sausage           7500    130
95          Salmon            16000   85
96          Tuna              14000   95
97          Shrimp            15000   100
98          Crab              18000   60
99          Lobster           25000   35
100         Tilapia           11000   120
